observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
re_m_sn_5_2023-11-03_0001,re_m_sn_5,re_m_sn_5_2023-11-03_0001.JPG,re_m_sn_5_time_lapse_167,2023-11-02T23:00:00Z,2023-11-02T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.99999463558197,,
re_m_sn_5_2023-11-03_0002,re_m_sn_5,re_m_sn_5_2023-11-03_0002.JPG,re_m_sn_5_time_lapse_168,2023-11-03T11:00:00Z,2023-11-03T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.99999213218689,,
re_m_sn_5_2023-11-04_0001,re_m_sn_5,re_m_sn_5_2023-11-04_0001.JPG,re_m_sn_5_time_lapse_169,2023-11-03T23:00:00Z,2023-11-03T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999993801116943,,
re_m_sn_5_2023-11-04_0002,re_m_sn_5,re_m_sn_5_2023-11-04_0002.JPG,re_m_sn_5_time_lapse_170,2023-11-04T11:00:00Z,2023-11-04T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999995112419128,,
re_m_sn_5_2023-11-05_0001,re_m_sn_5,re_m_sn_5_2023-11-05_0001.JPG,re_m_sn_5_time_lapse_171,2023-11-04T23:00:00Z,2023-11-04T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999996066093445,,
re_m_sn_5_2023-11-05_0002,re_m_sn_5,re_m_sn_5_2023-11-05_0002.JPG,re_m_sn_5_time_lapse_172,2023-11-05T11:00:00Z,2023-11-05T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999994516372681,,
re_m_sn_5_2023-11-06_0001,re_m_sn_5,re_m_sn_5_2023-11-06_0001.JPG,re_m_sn_5_time_lapse_173,2023-11-05T23:00:00Z,2023-11-05T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999994874000549,,
re_m_sn_5_2023-11-06_0002,re_m_sn_5,re_m_sn_5_2023-11-06_0002.JPG,re_m_sn_5_time_lapse_174,2023-11-06T11:00:00Z,2023-11-06T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999993085861206,,
re_m_sn_5_2023-11-07_0001,re_m_sn_5,re_m_sn_5_2023-11-07_0001.JPG,re_m_sn_5_time_lapse_175,2023-11-06T23:00:00Z,2023-11-06T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999995589256287,,
re_m_sn_5_2023-11-07_0002,re_m_sn_5,re_m_sn_5_2023-11-07_0002.JPG,re_m_sn_5_motion_sensor_78,2023-11-07T01:37:39Z,2023-11-07T01:37:40Z,media,animal,,Sorex spp.,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,1,,
re_m_sn_5_2023-11-07_0003,re_m_sn_5,re_m_sn_5_2023-11-07_0003.JPG,re_m_sn_5_motion_sensor_78,2023-11-07T01:37:39Z,2023-11-07T01:37:40Z,media,animal,,Sorex spp.,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.995756447315216,,
re_m_sn_5_2023-11-07_0004,re_m_sn_5,re_m_sn_5_2023-11-07_0004.JPG,re_m_sn_5_motion_sensor_79,2023-11-07T08:53:06Z,2023-11-07T08:53:07Z,media,animal,,Sorex spp.,,,,,,,,,,,,,human,hb,,,quality_check_confidence_level,
re_m_sn_5_2023-11-07_0005,re_m_sn_5,re_m_sn_5_2023-11-07_0005.JPG,re_m_sn_5_motion_sensor_79,2023-11-07T08:53:06Z,2023-11-07T08:53:07Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.944108188152313,,
re_m_sn_5_2023-11-07_0006,re_m_sn_5,re_m_sn_5_2023-11-07_0006.JPG,re_m_sn_5_time_lapse_176,2023-11-07T11:00:00Z,2023-11-07T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999992370605469,,
re_m_sn_5_2023-11-08_0001,re_m_sn_5,re_m_sn_5_2023-11-08_0001.JPG,re_m_sn_5_time_lapse_177,2023-11-07T23:00:00Z,2023-11-07T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999994277954102,,
