lat;lon;ele;name;habitat;zone;region
62.275812970474362;9.418376041576266;1189.6019289999999;SN-L-SN-1;SN;L;Snoheim
62.277659000828862;9.417278012260795;1187.830322;SN-L-SN-2;SN;L;Snoheim
62.280544973909855;9.413974033668637;1218.4121090000001;SN-L-SN-3;SN;L;Snoheim
62.272244961932302;9.413238018751144;1149.065186;SN-L-SN-4;SN;L;Snoheim
62.27251703850925;9.404402989894152;1194.5686040000001;SN-L-SN-5;SN;L;Snoheim
62.269612960517406;9.41301598213613;1181.0764160000001;SN-L-SN-6;SN;L;Snoheim
62.300009010359645;9.399436041712761;1413.6191409999999;SN-M-HU-1;HU;M;Snoheim
62.304042968899012;9.398516966030002;1420.997803;SN-M-HU-2;HU;M;Snoheim
62.306713024154305;9.400512026622891;1423.9698490000001;SN-M-HU-3;HU;M;Snoheim
62.307628998532891;9.406321020796895;1395.8507079999999;SN-M-HU-4;HU;M;Snoheim
62.300762962549925;9.424229962751269;1355.1557620000001;SN-M-HU-5;HU;M;Snoheim
62.3058429826051;9.425543993711472;1371.4204099999999;SN-M-HU-6;HU;M;Snoheim
62.29858098551631;9.391542971134186;1433.7044679999999;SN-M-SN-1;SN;M;Snoheim
62.301842970773578;9.39761096611619;1424.909668;SN-M-SN-2;SN;M;Snoheim
62.309233965352178;9.402947975322604;1410.2857670000001;SN-M-SN-3;SN;M;Snoheim
62.302777972072363;9.414662020280957;1389.5942379999999;SN-M-SN-4;SN;M;Snoheim
62.30253498069942;9.419957958161831;1384.3901370000001;SN-M-SN-5;SN;M;Snoheim
62.304351003840566;9.42257302813232;1378.0117190000001;SN-M-SN-6;SN;M;Snoheim
69.781036963686347;23.996971026062965;NA;jo_hi_sn_1;SN;M;Jotka
69.777637012302876;23.994220001623034;NA;jo_hi_sn_2;SN;M;Jotka
69.776221979409456;23.994354028254747;NA;jo_hi_sn_3;SN;M;Jotka
69.766501570120454;23.995467647910118;NA;jo_hi_sn_4;SN;M;Jotka
69.774281568825245;23.97708747535944;NA;jo_hi_sn_5;SN;M;Jotka
69.769248403608799;23.97904934361577;NA;jo_hi_sn_6;SN;M;Jotka
69.779784958809614;23.997062975540757;NA;jo_hi_we_1;HU;M;Jotka
69.777415981516242;23.997032968327403;NA;jo_hi_we_2;HU;M;Jotka
69.769227029755712;23.985236026346684;NA;jo_hi_we_3;HU;M;Jotka
69.767837980762124;23.987404005602002;NA;jo_hi_we_4;HU;M;Jotka
69.779195543378592;23.985358234494925;NA;jo_hi_we_5;HU;M;Jotka
69.767270861193538;23.969096420332789;NA;jo_hi_we_6;HU;M;Jotka
69.709835965186357;23.978908024728298;NA;jo_lo_he_1;HE;L;Jotka
69.715659040957689;23.96814901381731;NA;jo_lo_he_2;HE;L;Jotka
69.727791007608175;23.971495991572738;NA;jo_lo_he_3;HE;L;Jotka
69.72984398715198;23.968079024925828;NA;jo_lo_he_4;HE;L;Jotka
69.736040979623795;23.968263007700443;NA;jo_lo_he_5;HE;L;Jotka
69.711703537032008;23.972402159124613;NA;jo_lo_he_6;HE;L;Jotka
69.721939014270902;23.963108975440264;NA;jo_lo_hu_1;HU;L;Jotka
69.737571012228727;23.969697989523411;NA;jo_lo_hu_2;HU;L;Jotka
69.719059998169541;23.96791398525238;NA;jo_lo_hu_3;HU;L;Jotka
69.70930396579206;23.981485962867737;NA;jo_lo_hu_4;HU;L;Jotka
69.726819964125752;23.972034025937319;NA;jo_lo_hu_5;HU;L;Jotka
69.708505589514971;23.996860301122069;NA;jo_lo_sn_1;SN;L;Jotka
69.713152348995209;23.997052246704698;NA;jo_lo_sn_2;SN;L;Jotka
69.715803377330303;24.003115883097053;NA;jo_lo_sn_3;SN;L;Jotka
69.728542361408472;23.98574405349791;NA;jo_lo_sn_4;SN;L;Jotka
69.734570877626538;23.984911730512977;NA;jo_lo_sn_5;SN;L;Jotka
69.741923818364739;23.979551251977682;NA;jo_lo_sn_6;SN;L;Jotka
69.713796079158783;23.977119661867619;NA;jo_lo_we_6;HU;L;Jotka
70.313761979341507;30.102946003898978;194.004379;ko_hu_hu_1;HU;L;Komag
70.312613993883133;30.112117985263467;165.14830000000001;ko_hu_hu_2b;HU;L;Komag
70.309151010587811;30.133616980165243;151.79299900000001;ko_hu_hu_3b;HU;L;Komag
70.30558199621737;30.154266972094774;141.264557;ko_hu_hu_4;HU;L;Komag
70.303294993937016;30.162359029054642;133.23080400000001;ko_hu_hu_5;HU;L;Komag
70.317698959261179;30.10277995839715;NA;ko_hu_hu_6;HU;L;Komag
70.315450010821223;30.109292026609182;176.78488200000001;ko_hu_sn_1;SN;L;Komag
70.311246989294887;30.125930020585656;158.69575499999999;ko_hu_sn_2;SN;L;Komag
70.307307997718453;30.1403540186584;142.96940599999999;ko_hu_sn_3;SN;L;Komag
70.305335987359285;30.145879033952951;142.68727100000001;ko_hu_sn_4;SN;L;Komag
70.307920966297388;30.15883200801909;169.20115699999999;ko_hu_sn_5;SN;L;Komag
70.300055220723152;30.169109981507063;NA;ko_hu_sn_6;SN;L;Komag
70.333414021879435;30.068000005558133;271.98553500000003;ko_km_hf_a;HE;L;Komag
70.331393983215094;30.073729958385229;256.144409;ko_km_hf_b;HE;L;Komag
70.329184010624886;30.082085961475968;243.48126199999999;ko_km_hf_c;HE;L;Komag
70.327264973893762;30.087691023945808;248.06654399999999;ko_km_hf_d;HE;L;Komag
70.3238869830966;30.094466032460332;237.4254;ko_km_hf_e;HE;L;Komag
70.313800033181906;30.084633305668831;139.0352783203125;ko_km_hn_e;HE;L;Komag
70.392721015959978;29.990419959649444;NA;ko_ro_hu_1;HU;M;Komag
70.403807004913688;29.997680028900504;NA;ko_ro_hu_2;HU;M;Komag
70.391515027731657;30.027269991114736;NA;ko_ro_hu_3;HU;M;Komag
70.392390014603734;30.057073021307588;399.89760000000001;ko_ro_hu_4;HU;M;Komag
70.392643986269832;30.071610007435083;NA;ko_ro_hu_5;HU;M;Komag
70.388050032779574;30.064996015280485;NA;ko_ro_hu_6;HU;M;Komag
70.396499997004867;29.988924963399768;299.92320000000001;ko_ro_sn_1;SN;M;Komag
70.398239996284246;30.018709972500801;NA;ko_ro_sn_2;SN;M;Komag
70.393652999773622;30.040759993717074;NA;ko_ro_sn_3;SN;M;Komag
70.378259969875216;30.025527980178595;NA;ko_ro_sn_4;SN;M;Komag
70.38604399189353;30.026189982891083;NA;ko_ro_sn_5;SN;M;Komag
70.389131968840957;30.052129961550236;299.92320000000001;ko_ro_sn_6;SN;M;Komag
