type,license,rightsHolder,datasetID,collectionCode,datasetName,basisOfRecord,dataGeneralizations,occurrenceID,individualCount,sex,lifeStage,behavior,occurrenceStatus,occurrenceRemarks,organismID,eventID,parentEventID,eventDate,habitat,samplingProtocol,samplingEffort,eventRemarks,locationID,locality,minimumDepthInMeters,maximumDepthInMeters,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,identifiedBy,dateIdentified,identificationVerificationStatus,identificationRemarks,taxonID,scientificName,kingdom
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-02_0006,,,,,present,,,re_l_he_1_motion_sensor_9,re_l_he_1,2023-09-02T06:53:31Z/2023-09-02T06:53:32Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.8199462890625% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-02_0007,,,,,present,,,re_l_he_1_motion_sensor_9,re_l_he_1,2023-09-02T06:53:31Z/2023-09-02T06:53:32Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9969959259033% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-02_0009,,,,,present,,,re_l_he_1_motion_sensor_10,re_l_he_1,2023-09-02T11:15:23Z/2023-09-02T11:15:24Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.5898306369781% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-02_0010,,,,,present,,,re_l_he_1_motion_sensor_10,re_l_he_1,2023-09-02T11:15:23Z/2023-09-02T11:15:24Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9971389770508% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-02_0011,,,,,present,,,re_l_he_1_motion_sensor_11,re_l_he_1,2023-09-02T11:17:00Z/2023-09-02T11:17:01Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 100% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-02_0012,,,,,present,,,re_l_he_1_motion_sensor_11,re_l_he_1,2023-09-02T11:17:00Z/2023-09-02T11:17:01Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9889969825745% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-02_0013,,,,,present,,,re_l_he_1_motion_sensor_12,re_l_he_1,2023-09-02T15:17:04Z/2023-09-02T15:17:05Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9956250190735% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-02_0014,,,,,present,,,re_l_he_1_motion_sensor_12,re_l_he_1,2023-09-02T15:17:04Z/2023-09-02T15:17:05Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.999988079071% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-02_0015,,,,,present,,,re_l_he_1_motion_sensor_13,re_l_he_1,2023-09-02T18:14:38Z/2023-09-02T18:14:39Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9982833862305% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-02_0016,,,,,present,,,re_l_he_1_motion_sensor_13,re_l_he_1,2023-09-02T18:14:38Z/2023-09-02T18:14:39Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9943137168884% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-02_0017,,,,,present,,,re_l_he_1_motion_sensor_14,re_l_he_1,2023-09-02T18:16:29Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9852299690247% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-02_0018,,,,,present,,,re_l_he_1_motion_sensor_14,re_l_he_1,2023-09-02T18:16:29Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.2102086544037% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-02_0019,,,,,present,,,re_l_he_1_motion_sensor_15,re_l_he_1,2023-09-02T19:32:54Z/2023-09-02T19:32:55Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait | tags: quality_check_classes,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,hb,,,classified by a human,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-02_0020,,,,,present,,,re_l_he_1_motion_sensor_15,re_l_he_1,2023-09-02T19:32:54Z/2023-09-02T19:32:55Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9981164932251% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-03_0001,,,,,present,,,re_l_he_1_motion_sensor_16,re_l_he_1,2023-09-02T22:28:13Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.6281683444977% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-03_0002,,,,,present,,,re_l_he_1_motion_sensor_16,re_l_he_1,2023-09-02T22:28:13Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9781668186188% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-03_0004,,,,,present,,,re_l_he_1_motion_sensor_17,re_l_he_1,2023-09-02T23:11:01Z/2023-09-02T23:11:02Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9998927116394% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-03_0005,,,,,present,,,re_l_he_1_motion_sensor_17,re_l_he_1,2023-09-02T23:11:01Z/2023-09-02T23:11:02Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9936580657959% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-03_0006,,,,,present,,,re_l_he_1_motion_sensor_18,re_l_he_1,2023-09-02T23:37:16Z/2023-09-02T23:37:17Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9999046325684% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-10_0004,,,,,present,,,re_l_he_1_motion_sensor_21,re_l_he_1,2023-09-10T18:37:58Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9906301498413% certainty,,Cricetidae,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-13_0003,,,,,present,,,re_l_he_1_motion_sensor_22,re_l_he_1,2023-09-13T18:35:37Z/2023-09-13T18:35:38Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.977833032608% certainty,,Cricetidae,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-13_0004,,,,,present,,,re_l_he_1_motion_sensor_22,re_l_he_1,2023-09-13T18:35:37Z/2023-09-13T18:35:38Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9993681907654% certainty,,Cricetidae,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-14_0002,,,,,present,,,re_l_he_1_motion_sensor_24,re_l_he_1,2023-09-14T03:14:57Z/2023-09-14T03:14:58Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.8337626457214% certainty,,Cricetidae,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-14_0003,,,,,present,,,re_l_he_1_motion_sensor_24,re_l_he_1,2023-09-14T03:14:57Z/2023-09-14T03:14:58Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.998414516449% certainty,,Cricetidae,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-15_0003,,,,,present,,,re_l_he_1_motion_sensor_25,re_l_he_1,2023-09-15T18:36:48Z/2023-09-15T18:36:49Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 97.1137702465057% certainty,,Cricetidae,Animalia
