occurrenceID,identifier,dc:type,comments,dcterms:rights,CreateDate,captureDevice,resourceCreationTechnique,accessURI,dc:format,serviceExpectation
re_l_he_1_2024-04-09_0035_1,re_l_he_1_2024-04-09_0035.JPG,StillImage,,CC-BY4.0,2024-04-09T15:57:45Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2024-04-09_0035.JPG,image/jpeg,authenticate
re_l_he_1_2024-04-12_0028_1,re_l_he_1_2024-04-12_0028.JPG,StillImage,,CC-BY4.0,2024-04-12T16:27:18Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2024-04-12_0028.JPG,image/jpeg,authenticate
re_l_he_1_2024-04-16_0002_1,re_l_he_1_2024-04-16_0002.JPG,StillImage,,CC-BY4.0,2024-04-16T00:13:04Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2024-04-16_0002.JPG,image/jpeg,authenticate
re_l_he_1_2024-04-22_0003_1,re_l_he_1_2024-04-22_0003.JPG,StillImage,,CC-BY4.0,2024-04-22T10:12:07Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2024-04-22_0003.JPG,image/jpeg,authenticate
re_l_he_1_2024-05-29_0001_1,re_l_he_1_2024-05-29_0001.JPG,StillImage,,CC-BY4.0,2024-05-28T23:00:00Z,,time lapse,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2024-05-29_0001.JPG,image/jpeg,authenticate
re_l_he_1_2024-05-31_0004_1,re_l_he_1_2024-05-31_0004.JPG,StillImage,,CC-BY4.0,2024-05-31T08:10:46Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2024-05-31_0004.JPG,image/jpeg,authenticate
re_l_he_1_2024-06-07_0001_1,re_l_he_1_2024-06-07_0001.JPG,StillImage,,CC-BY4.0,2024-06-06T23:00:00Z,,time lapse,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2024-06-07_0001.JPG,image/jpeg,authenticate
re_l_he_1_2024-06-12_0004_1,re_l_he_1_2024-06-12_0004.JPG,StillImage,,CC-BY4.0,2024-06-12T02:22:32Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2024-06-12_0004.JPG,image/jpeg,authenticate
re_l_he_1_2024-06-16_0004_1,re_l_he_1_2024-06-16_0004.JPG,StillImage,,CC-BY4.0,2024-06-16T04:28:19Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2024-06-16_0004.JPG,image/jpeg,authenticate
re_l_he_1_2024-06-23_0003_1,re_l_he_1_2024-06-23_0003.JPG,StillImage,,CC-BY4.0,2024-06-22T23:22:12Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2024-06-23_0003.JPG,image/jpeg,authenticate
re_l_he_1_2024-06-25_0005_1,re_l_he_1_2024-06-25_0005.JPG,StillImage,,CC-BY4.0,2024-06-25T07:31:56Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2024-06-25_0005.JPG,image/jpeg,authenticate
re_l_he_1_2024-07-14_0009_1,re_l_he_1_2024-07-14_0009.JPG,StillImage,,CC-BY4.0,2024-07-14T09:46:56Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2024-07-14_0009.JPG,image/jpeg,authenticate
re_l_he_1_2024-07-19_0005_1,re_l_he_1_2024-07-19_0005.JPG,StillImage,,CC-BY4.0,2024-07-19T00:18:33Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2024-07-19_0005.JPG,image/jpeg,authenticate
re_l_he_1_2024-07-22_0011_1,re_l_he_1_2024-07-22_0011.JPG,StillImage,,CC-BY4.0,2024-07-22T15:34:19Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2024-07-22_0011.JPG,image/jpeg,authenticate
re_l_he_2_2023-08-12_0002_1,re_l_he_2_2023-08-12_0002.JPG,StillImage,,CC-BY4.0,2023-08-12T11:00:00Z,,time lapse,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2023-08-12_0002.JPG,image/jpeg,authenticate
re_l_he_2_2023-08-15_0005_1,re_l_he_2_2023-08-15_0005.JPG,StillImage,,CC-BY4.0,2023-08-15T16:52:21Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2023-08-15_0005.JPG,image/jpeg,authenticate
re_l_he_2_2023-11-22_0004_1,re_l_he_2_2023-11-22_0004.JPG,StillImage,,CC-BY4.0,2023-11-22T09:37:24Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2023-11-22_0004.JPG,image/jpeg,authenticate
re_l_he_2_2023-11-25_0004_1,re_l_he_2_2023-11-25_0004.JPG,StillImage,,CC-BY4.0,2023-11-25T11:00:00Z,,time lapse,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2023-11-25_0004.JPG,image/jpeg,authenticate
re_l_he_2_2023-12-04_0002_1,re_l_he_2_2023-12-04_0002.JPG,StillImage,,CC-BY4.0,2023-12-04T08:05:10Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2023-12-04_0002.JPG,image/jpeg,authenticate
